grade,color,1
ABS100-322,EX4-28-27436,1
ABS121-S27,MABS-109720,1
ABS330,CABS-101647,1
ABS330,SPAB-851HC,1
ABS700,7-28-18121,1
ABS700,ABM-A145122-34,1
ABS700,ABSKM-67943-21,1
ABS700,EX4-28-27436,1
ABS700,SPAB-851HC,1
AW564,PKM-77557C-34,1
AW564,PP-19081,1
AZ564,PPM-A190438-34,1
AZ564,PPM-A190439-26,1
AZ564,PPM-A190440-34,1
AZ564,PPM-A190766-34,1
AZ564,PPM-A200123-34,1
AZ564,PPM-A202796-34,1
AZ764F5,PKM-76000-34,1
AZ764F5,PPM-A142380-34,1
AZ764F5,PPM-A172387-21,1
AZ764F5,PPM-A200169-34,1
AZ764F5,PPM-A203260-34,1
BC03B,19101,1
BC03B,3-21-16743,1
BC03B,3-22-19977,1
BC03B,PPM-A202436-21,1
BC03B,PY-K2279-G,1
BC03B,PY-L2605F,1
BC03B,PY-S2299H,1
BC03B,WN-12,1
BC60CN,PKM-91438B-51,1
CM-1014-V0,M040B2,1
CM3001,NW470,1
D-1022,L1618,1
EOX0440A:BC03B(4:6),3-11-15949,1
EOX0440A:BC03B(4:6),DB3-14-11898,1
EOX0440A:BC03B(4:6),PPM-A202436-21,1
EOX0440A:BC03B(4:6),WN-12,1
EOX0440A:BC03B(4:6) ,3-11-15949,1
EOX0440A:BC03B(4:6) ,PPM-A202436-21,1
EOX0440A:BC03B(4:6) ,WN-12 ,1
F20-03,7-22-20154,1
F20-03,7-28-18121,1
F20-03,"POM-A123406-11 	",1
F20-03,SAE-27150-A,1
FX-11J,DY-T2998F,1
FX-11J,HK-54024,1
H350,SKM-90619-51,1
H8765,SPAB851HC,1
HT60,MSD-514719,1
HT60,SPAB-851HC,1
J105H,OKM-J105-J24,1
M90-44,7-17-10509,1
NT400,MPN108688,1
OX842B1:BC03B(4:6),3-11-15949,1
OX842B1:BC03B(4:6),WN-12,1
PGT-1920M,BK,1
SER91X,7X2971-BBR,1
T401,MPN137161,1
V7000,PK-22944N,1
