product_code,num_inside,,
AWW2103A1Z00,6,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-CO-20002,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-DFL-20008,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-DFL-20009,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-EX-20014,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-EX-20015,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-MD-20015,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-MD-20023,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-MD-20026,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-NDS-20002,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-SO-20024,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-PCC-20001,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-SO-20025,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-UR-20012,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20009,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20015,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20019,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20016,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20020,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20021,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20022,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-NDS-20001,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-NDS-20002,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20004,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20001,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20014,12,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20001,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20002,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20006,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20020,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20020A,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20021,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20031,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20032,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20034,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20035,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20036,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20037,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20038,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20041,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20045,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20046,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20047,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20048,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20049,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20051,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20050,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20052,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20053,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20054,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-NDS-20001,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-NDS-20002,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1295-10M00,10,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1295-82200,10,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P2133-93020,4,0,f606ea4c-3274-4db6-9c95-52304761b41d,
RD08-J67,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
RS72-J67,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
RS94-J67,5,0,f606ea4c-3274-4db6-9c95-52304761b41d,
W0602-BTA92D2,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
W2131-9SG10,3,0,f606ea4c-3274-4db6-9c95-52304761b41d,
