product_id1,product_id2,tourokubi
BON-SO-20024,BON-SO-20025,2016-09-21,0,f606ea4c-3274-4db6-9c95-52304761b41d,
F9MP161020,F9MP161021,2016-11-12,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20010,MLD-CO-20011,2016-10-19,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20012,MLD-CO-20014,2016-10-19,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20021,MLD-CO-20022,2016-10-19,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20021,MLD-MD-20022,2013-09-03,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20031,MLD-MD-20032,2015-06-06,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20037,MLD-MD-20038,2016-04-15,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20041,MLD-MD-20042,2016-12-20,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-NDS-20001,MLD-NDS-20002,2016-11-07,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007C-L71,P007C-L72,2015-05-20,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0171-06G00,P001V-06G00,2015-10-09,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63020,P0192-63030,2013-09-03,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63040,P0192-63050,2016-04-25,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1127-62920,P1127-62930,2016-12-22,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1141-27500,P1141-27510,2013-11-16,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E10,P021B-02E00,2015-06-06,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E20,P021B-02E10,2017-01-18,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E30,P021B-02E20,2018-06-22,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1192-62900,P1192-62910,2016-12-22,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62900,P1663-62910,2016-09-10,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62920,P1663-62930,2016-11-23,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1664-62900,P1664-62910,2016-09-10,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1728-02E00,P006T-02E00,2015-06-06,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1728-02E10,P006T-02E10,2015-12-07,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1728-02F00,P006T-02F00,2016-10-29,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1728-02E20,P006T-02E20,2018-06-20,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1728-06F00,P006T-06F00,2016-11-09,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P2166-67370,P2166-67470,2018-05-24,0,f606ea4c-3274-4db6-9c95-52304761b41d,
W0602-BTA92D2,W0602-92000,2016-08-09,0,f606ea4c-3274-4db6-9c95-52304761b41d,
W0877-8DZ00,W0878-8DZ00,2013-09-07,0,f606ea4c-3274-4db6-9c95-52304761b41d,
W1803-6CB20,W1803-60000,2015-10-23,0,f606ea4c-3274-4db6-9c95-52304761b41d,
