sup_id,sup_name,handy_id,address,tel,fax,charge_p,flag,created
1,プラマテルズ（株）,,,,,大友,0,
2,摂津化成（株）,,,,,長井,0,
3,オーケー化成（株）,,,,,五ノ井,0,
4,グローバル調達社 原料集中購買部,,,,,直長,0,
5,吉川化成（株）,,,,,友国,0,
6,東和電気（株）大阪支店,,,,,山崎,0,
7,キッチンアプライアンス加東工場,,,,,前川,0,
8,キッチンアプライアンス神戸工場,,兵庫県神戸市西区高塚台1-5-1,050-3688-1067,078-992-9498,大栗,0,
9,三愛金属,,,,,三愛金属,0,
10,大和包装工業（株）,,,,,aaa,1,
11,株式会社十川ゴム,,大阪市西区南堀江4-2-5,06-6541-3651,06-6533-2007,京免,0,
12,（株）十川ゴム,,大阪市西区南堀江4-2-5,06-6541-3651,06-6533-2007,京免,1,
13,大景化学（株）,,東大阪市渋川町2-6-15,06-6720-2241,06-6720-1153,大城,0,
14,（株）富士松,,大阪市生野区小路1-20-19,06-6751-1213,06-6751-1228,西野,0,
16,大東化成工業　岡山樹脂工場,,岡山県備前市木谷４３７,0869-67-1790,0869-67-1825,川崎,0,
17,近藤紙器工業（株）,,,,,近藤,0,
18,関西フェルトファブリック（株）,,,06-6312-7824,06-6312-7824,長谷,0,
